date,rate 
Jan 2005,4.3
Feb 2005,4.2
Mar 2005,4.4
Apr 2005,4.2
May 2005,3.8
Jun 2005,3.7
Jul 2005,3.9
Aug 2005,3.8
Sep 2005,3.3
Oct 2005,4.3
Nov 2005,4.2
Dec 2005,4.2
Jan 2006,4.3
Feb 2006,4.0
Mar 2006,4.2
Apr 2006,3.9
May 2006,4.3
Jun 2006,4.1
Jul 2006,4.3
Aug 2006,3.9
Sep 2006,3.6
Oct 2006,3.8
Nov 2006,3.8
Dec 2006,4.1
Jan 2007,3.9
Feb 2007,4.4
Mar 2007,4.3
Apr 2007,4.1
May 2007,4.1
Jun 2007,3.8
Jul 2007,3.3
Aug 2007,4.1
Sep 2007,4.3
Oct 2007,3.8
Nov 2007,3.9
Dec 2007,3.5
Jan 2008,3.4
Feb 2008,3.1
Mar 2008,4.5
Apr 2008,3.5
May 2008,3.5
Jun 2008,4.2
Jul 2008,4.1
Aug 2008,4.2
Sep 2008,4.2
Oct 2008,3.7
Nov 2008,3.5
Dec 2008,4.1
Jan 2009,3.6
Feb 2009,4.3
Mar 2009,3.2
Apr 2009,3.4
May 2009,4.1
Jun 2009,3.8
Jul 2009,3.6
Aug 2009,3.7
Sep 2009,4.6
Oct 2009,3.6
Nov 2009,3.5
Dec 2009,3.8
Jan 2010,3.6
Feb 2010,3.3
Mar 2010,4.2
Apr 2010,3.9
May 2010,3.6
Jun 2010,3.6
Jul 2010,3.4
Aug 2010,3.7
Sep 2010,4.4
Oct 2010,4.2
Nov 2010,4.1
Dec 2010,3.9
Jan 2011,3.6
Feb 2011,3.6
Mar 2011,3.8
Apr 2011,3.9
May 2011,3.4
Jun 2011,3.3
Jul 2011,3.7
Aug 2011,4.1
Sep 2011,3.7
Oct 2011,3.9
Nov 2011,3.6
Dec 2011,3.6
Jan 2012,3.3
Feb 2012,3.5
Mar 2012,3.9
Apr 2012,3.3
May 2012,3.2
Jun 2012,3.6
Jul 2012,3.9
Aug 2012,3.2
Sep 2012,3.4
Oct 2012,3.4
Nov 2012,2.8
Dec 2012,3.4
Jan 2013,3.4
Feb 2013,3.1
Mar 2013,3.1
Apr 2013,2.9
May 2013,3.8
Jun 2013,3.5
Jul 2013,3.3
Aug 2013,3.2
Sep 2013,3.5
Oct 2013,3.5
Nov 2013,3.2
Dec 2013,3.4
Jan 2014,3.7
Feb 2014,3.5
Mar 2014,3.6
Apr 2014,3.3
May 2014,3.8
Jun 2014,3.9
Jul 2014,3.1
Aug 2014,3.7
Sep 2014,3.7
Oct 2014,3.4
Nov 2014,3.4
Dec 2014,3.7
Jan 2015,3.1
Feb 2015,3.7
Mar 2015,3.6
Apr 2015,3.1
May 2015,3.4
Jun 2015,3.2
